Address,City,EOAddress,Electorate,Email,Fax,First name,Gender,House,LastName,LastUpdated,MinAddress,MinPhone,Minister,POAddress,POstcode,Party,PartyAbb,Phone,Photo,Political Party,Name,Position,PreferredName,Salutation,State,Surname,Title,Web,images,﻿Full Name
,,"140 Mollison Street, Bendigo, VIC, 3550",Bendigo East,jacinta.allan@parliament.vic.gov.au,,,,Legislative Assembly,Allan,15/04/2024,"Level 1, , 1 Treasury Place, East Melbourne, VIC, 3002",(03) 9651 5000,Premier,"PO Box 399, Bendigo, VIC, 3552",,Australian Labor Party,ALP,(03) 5443 2144,,,,,Jacinta,,,,The Hon.,"http://www.jacintaallan.com, http://twitter.com/JacintaAllanMP",,
,,"197-199 Riversdale Road, Hawthorn, VIC, 3122",Hawthorn,john.pesutto@parliament.vic.gov.au,,,,Legislative Assembly,Pesutto,02/10/2023,,,Shadow Minister for Multicultural Affairs,,,Liberal Party,LP,(03) 9882 4088,,,,"Leader of the Opposition, Leader of the Liberal Party, Leader of the Liberal and Nationals Coalition",John,,,,Mr,"http://johnpesutto.com.au, http://www.facebook.com/JohnPesutto, https://twitter.com/@JohnPesutto, https://www.instagram.com/JohnPesutto",,
,,"Suite G.02, 3 Chester Street, Oakleigh, VIC, 3166",Oakleigh,steve.dimopoulos@parliament.vic.gov.au,,,,Legislative Assembly,Dimopoulos,08/01/2024,"Level 16,, 8 Nicholson Street, East Melbourne, VIC, 3002",03 862 43101,"Minister for Environment, Minister for Tourism, Sport and Major Events, Minister for Outdoor Recreation",,,Australian Labor Party,ALP,(03) 9568 2456,,,,,Steve,,,,The Hon.,"https://www.stevedimopoulos.com.au/, https://www.facebook.com/DimoforOakleigh, https://twitter.com/Steve_Dimo",,
,,"Shop D00-02B, Craigieburn Central, 340 Craigieburn Road, Craigieburn, VIC, 3064",Kalkallo,ros.spence@parliament.vic.gov.au,,,,Legislative Assembly,Spence,08/11/2023,"Level 22,, 50 Lonsdale Street, Melbourne, VIC, 3000",1300 622 308,"Minister for Agriculture, Minister for Community Sport, Minister for Carers and Volunteers","PO Box 132, Craigieburn, VIC, 3064",,Australian Labor Party,ALP,(03) 8377 4477,,,,,Ros,,,,The Hon.,"https://www.rosspence.com.au, https://facebook.com/rosspenceMP",,
,,"Shop 14, Nexus Centre, 9 Goode Street, Gisborne, VIC, 3437",Macedon,mary-anne.thomas@parliament.vic.gov.au,,,,Legislative Assembly,Thomas,09/10/2023,"Level 22, 50 Lonsdale Street, Melbourne, VIC, 3000",(03) 9096 8561,"Minister for Health, Minister for Health Infrastructure, Minister for Ambulance Services","PO Box 39, Gisborne, VIC, 3437",,Australian Labor Party,ALP,(03) 5428 2138,,,,Leader of the House,Mary-Anne,,,,The Hon.,"https://www.mary-annethomas.com.au/, https://twitter.com/MaryAnneThomas, https://www.facebook.com/MaryAnneMacedon/",,
,,"34 Firebrace Street, Horsham, VIC, 3400",Lowan,emma.kealy@parliament.vic.gov.au,,,,Legislative Assembly,Kealy,09/03/2023,,,"Shadow Minister for Agriculture, Shadow Minister for Mental Health","PO Box 41, Horsham, VIC, 3402",,The Nationals,NAT,(03) 5382 0097,,,,Deputy Leader of The Nationals,Emma,,,,Ms,,,
,,"Suite 1, 28 Shuter Street, Moonee Ponds, VIC, 3039",Essendon,danny.pearson@parliament.vic.gov.au,,,,Legislative Assembly,Pearson,26/10/2023,"Level 3, 1 Treasury Place, East Melbourne, VIC, 3002",(03) 9658 4101,"Minister for Transport Infrastructure, Minister for the Suburban Rail Loop, Assistant Treasurer, Minister for WorkSafe and the TAC","PO Box 605, Moonee Ponds, VIC, 3039",,Australian Labor Party,ALP,(03) 9370 7777,,,,,Danny,,,,The Hon.,"https://dannypearson.com.au/, https://www.facebook.com/Pearson4essndon, https://twitter.com/DannyPearsonMP",,
,,"16 Princes Highway, Dandenong, VIC, 3175",Dandenong,gabrielle.williams@parliament.vic.gov.au,,,,Legislative Assembly,Williams,01/11/2023,"Level 3, , 1 Treasury Place, East Melbourne, VIC, 3002",(03) 8660 7101,"Minister for Government Services, Minister for Consumer Affairs, Minister for Public and Active Transport",,,Australian Labor Party,ALP,(03) 9793 2000,,,,,Gabrielle,,,,The Hon.,"https://www.gabriellewilliams.com.au/, https://www.facebook.com/WilliamsforDandenong",,
,,"Shop 9, Pakington Strand Shopping Centre, 95-103 Pakington Street, Geelong West, VIC, 3218",Geelong,christine.couzens@parliament.vic.gov.au,,,,Legislative Assembly,Couzens,22/02/2023,,,,,,Australian Labor Party,ALP,(03) 5221 4821,,,,Parliamentary Secretary for First Peoples,Chris,,,,Ms,"https://christinecouzens.com, https://facebook.com/ccouzensalp, https://instagram.com/chriscouzensmp, https://twitter.com/ccouzensmp",,
,,"Suites 3 & 4, 1335 Ferntree Gully Road, Scoresby, VIC, 3179",Rowville,kim.wells@parliament.vic.gov.au,,,,Legislative Assembly,Wells,10/03/2023,,,,"PO Box 4255, Knox City Centre, VIC, 3152",,Liberal Party,LP,(03) 9764 8988,,,,,Kim,,,,The Hon.,,,
